id_argos,yyyy, mm, dd, hour, min, lon, lat,flag,position_status,battery_voltage,solar_current,boot_times,flood_level,avg_wind_int1,wind_gust1,wind_dir1,avg_wind_int2,avg_wind_gust2,avg_wind_dir2,spare1,spare2,spare3,spare4,spare5,spare6,spare7,avg_wind_int1_f2,wind_gust1_f2,wind_dir1_f2,temp_air,rel_humid,dew_point,pressure,sst,buoy_heading,clh,turb,avg_radiation,CM_int1,CM_dir1,CM_int2,CM_dir2,CM_int3,CM_dir3,HS,H_max,Tp,Mn_dir,Mn_spread,spare24,spare25
69152, 2019, 9, 28, 0, 6, -43.979, -23.475, 1, 0.0, 12.7, 0.0, 2.0, 0.0, 6.0, 7.0, 237.0, 6.0, 7.0, 243.0, 50.1, 50.1, 50.1, 50.1, 50.1, 50.1, 50.1, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0
69152, 2019, 9, 28, 0, 15, -43.981, -23.474, 2, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, 7.3, 8.9, 234.0, 21.1, 96.0, 20.5, 1018.2, 21.71, 288.0, 163.83, 1310.7, 1.09, 23.5, 74.0, 25.0, 82.0, 22.0, 88.0, 1.38, 1.99, 5.3, 228.0, -99999.0, -99999.0, -99999.0
69152, 2019, 9, 28, 0, 43, -43.98, -23.475, 2, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, 5.4, 6.9, 234.0, 21.1, 97.0, 20.6, 1019.4, 21.7, 282.0, 163.83, 1310.7, 1.21, 28.9, 54.0, 28.8, 53.0, 26.2, 56.0, 1.42, 2.32, 5.7, 228.0, -99999.0, -99999.0, -99999.0
69152, 2019, 9, 28, 1, 24, -43.981, -23.475, 2, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, 5.4, 6.9, 234.0, 21.1, 97.0, 20.6, 1019.4, 21.7, 282.0, 163.83, 1310.7, 1.21, 28.9, 54.0, 28.8, 53.0, 26.2, 56.0, 1.42, 2.32, 5.7, 228.0, -99999.0, -99999.0, -99999.0
69152, 2019, 9, 28, 1, 42, -43.985, -23.472, 2, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, 6.0, 7.6, 192.0, 21.0, 93.0, 19.9, 1019.6, 21.7, 240.0, 163.83, 1310.7, 0.84, 19.0, 42.0, 19.9, 50.0, 18.1, 56.0, 1.42, 2.12, 6.9, 225.0, -99999.0, -99999.0, -99999.0
69152, 2019, 9, 28, 1, 56, -43.985, -23.476, 2, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, 6.0, 7.6, 192.0, 21.0, 93.0, 19.9, 1019.6, 21.7, 240.0, 163.83, 1310.7, 0.84, 19.0, 42.0, 19.9, 50.0, 18.1, 56.0, 1.42, 2.12, 6.9, 225.0, -99999.0, -99999.0, -99999.0
69152, 2019, 9, 28, 1, 56, -43.985, -23.476, 1, 0.0, 12.7, 0.0, 4.0, 0.0, 6.0, 8.0, 192.0, 6.0, 8.0, 189.0, 50.1, 50.1, 50.1, 50.1, 50.1, 50.1, 50.1, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0
69152, 2019, 9, 28, 5, 56, -43.972, -23.477, 1, 0.0, 12.7, 0.0, 0.0, 0.0, 7.0, 8.0, 174.0, 7.0, 9.0, 174.0, 50.1, 50.1, 50.1, 50.1, 50.1, 50.1, 50.1, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0
69152, 2019, 9, 28, 7, 30, -43.982, -23.478, 2, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, 4.2, 6.3, 153.0, 19.5, 96.0, 18.9, 1018.6, 21.61, 204.0, 163.83, 1310.7, -2.54, 7.5, 29.0, 9.0, 62.0, 9.4, 69.0, 1.29, 1.79, 7.7, 183.0, -99999.0, -99999.0, -99999.0
69152, 2019, 9, 28, 7, 36, -43.98, -23.476, 1, 0.0, 12.6, 0.0, 2.0, 0.0, 0.0, 0.0, 198.0, 2.0, 2.0, 183.0, 50.1, 50.1, 50.1, 50.1, 50.1, 50.1, 50.1, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0, -99999.0
